Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist,"$122,500
/yr (est.)","Kafene is a leading point-of-sale financing partner dedicated to empowering flexible ownership solutions for underserved customers nationwide. By enabling our retail partners to offer flexible lease-to-own (LTO) purchase options for prime and nonprime consumers, Kafene helps merchants grow their customer base and meet the growing demand for furniture, appliances, electronics, tires, and other durable goods. Utilizing more than 20,000 data inputs in tandem with cutting-edge AI and machine learning technologies, our platform creates a best-in-class experience for both merchants and customers. With over $150 million in sales since inception, we are rapidly growing and looking to expand our team.

We take pride in fostering a dynamic workplace culture that values collaboration, innovation, and mutual support. Our team of 100 is spread between a NYC headquarters, a Wilmington office, and fully remote staff across the country. Last year, we were selected for Built In Startups to Watch and Forbes' Best Startup Employers.









Show more",-1.0,Kafene,"New York, NY",51 to 200 Employees,2019,Company - Private,Consumer Product Rental,Personal Consumer Services,Unknown / Non-Applicable
Data Scientist,-1,"PLEASE NOTE BEFORE APPLYING:
CODOXO IS NOT ABLE TO OFFER SPONSORSHIP OR ACCOMMODATE ANY CANDIDATES THAT ARE CURRENTLY BEING SPONSORED NOW OR IN THE FUTURE

Of the $3.8T we spend on healthcare in the United States annually, about a third of it is estimated to be lost due to waste, fraud and abuse. Codoxo is the premier provider of artificial intelligence-driven solutions and services that help healthcare companies and agencies proactively detect and reduce risks from fraud, waste, and abuse and ensure payment integrity. Codoxo helps clients manage costs across network management, clinical care, provider coding and billing, payment integrity, and special investigation units. Our software-as-a service applications are built on our proven Forensic AI Engine, which uses patented AI-based technology to identify problems and suspicious behavior far faster and earlier than traditional techniques.















Show more",4.0,Codoxo,United States,51 to 200 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Scientist (Multiple Openings),"$129,500
/yr (est.)","Employer: DePuy Synthes Sales, Inc.
Job Title: Data Scientist (Multiple Openings)
Job Code : A011.4520
Job Location : Raritan, NJ
Job Type: Full-Time
Rate of Pay: $120,000 - $139,000
Job Duties: Partner with data scientists, engineers, and business partners to build and deliver digital solutions. Develop data science models and ensure real-world operationalization. Responsible for the design, development, programming methods, processes, and systems to consolidate and analyze unstructured, diverse “big data” sources to generate actionable insights and solutions for businesses across the company. Manage the data lifecycle including ingestion, contextualization, feature engineering, and operationalization for large volumes of structured and unstructured data for analytics and insights. Develop software programs, algorithms and automated processes that cleanse, integrate, and evaluate large data sets from multiple disparate sources. Identify meaningful, actionable insights from large data and metadata sources, and communicate to stakeholders. Maintain accountability for model recommendations throughout the entire lifecycle of product development, implementation, and adoption to drive business impact.



Show more",4.2,Johnson & Johnson,"Raritan, NJ",10000+ Employees,1887,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD)
Data Scientist,-1,"Data Scientist
Rockerbox fuels the growth of leading Direct-to-Consumer (DTC) brands such as Tula, Figs, and Burton. Our guiding principle is that no marketing organization should require a data engineering team to make data-driven decisions. We take on the technical challenges of collecting and consolidating all marketing data into a single platform to enable any marketing organization, big or small, to focus on their core strength: building their brand.
The Data Science team at Rockerbox is responsible for designing, deploying, and maintaining ML-backed features including our Media Mix modeling (MMM) product, the cornerstone of our measurement diversification efforts. Reporting to the Head of Data, you will collaborate with teammates across Engineering, Product, and Customer Success to build impactful new features and iterate on existing ones to meet the evolving needs of our current and new customers. We are looking for data scientists who thrive in a collaborative, dynamic environment and will make a direct impact on the next version of our product as we scale to thousands of customers.

Show more",4.2,Rockerbox,Remote,51 to 200 Employees,--,Company - Private,Software Development,Information Technology,$5 to $25 million (USD)
Data Scientist,"$95,000
/yr (est.)","TITLE: Data Scientist
LOCATION: Bellevue, WA

ABOUT US
AstrumU is a data services company based in Bellevue, WA that is leveling the playing field by identifying skills gap recommendations, so that individuals can achieve their career objectives. AstrumU quantifies skills and affinities developed through education, training, and professional experiences of all types. The AstrumU AI Translation Engine ingests verified data from learning, skills, and labor market outcomes to measure, map and make recommendations based on the probable impact to outcomes. We are on a mission to quantify the return on educational investments for all learners, education providers and employers, so everyone can maximize their potential in the Future of Work.











Show more",4.7,AstrumU,"Bellevue, WA",1 to 50 Employees,2017,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
Data Scientist I,"$86,000
/yr (est.)","Position Title: Data Scientist I
Salary Range: $80,000 - $92,000
Department: Information Technology
Reports to: Manager, Analytics and Research
Location: Remote
Schedule: M-F; 9-5 EST
Formerly the Mental Health Association of New York City (MHA-NYC), Vibrant Emotional Health’s groundbreaking solutions have delivered high quality services and support, when, where and how people need it for over 50 years. Through our state-of-the-art technology-enabled services, community wellness programs, and advocacy and education work, we are building a society in which emotional wellness can be a reality for everyone.
Show more",2.2,Vibrant Emotional Health,Remote,201 to 500 Employees,--,Nonprofit Organization,Civic & Social Services,Nonprofit & NGO,$5 to $25 million (USD)
Data Scientist,"$96,553
/yr (est.)","Focused on labor and employment law since 1958, Jackson Lewis P.C.’s 950+ attorneys located in major cities nationwide consistently identify and respond to new ways workplace law intersects business. We help employers develop proactive strategies, strong policies and business-oriented solutions to cultivate high-functioning workforces that are engaged, stable and diverse, and share our clients' goals to emphasize inclusivity and respect for the contribution of every employee.
The Firm is ranked in the First Tier nationally in the category of Labor and Employment Litigation, as well as in both Employment Law and Labor Law on behalf of Management, in the U.S. News - Best Lawyers® “Best Law Firms”.
Job Summary (basic description)
The Data Scientist is responsible for:
Show more",3.9,Jackson Lewis,"Houston, TX",1001 to 5000 Employees,1958,Company - Private,Legal,Legal,$100 to $500 million (USD)
Data Scientist,"$128,933
/yr (est.)","Key Responsibilities:
Develop and implement advanced analytics solutions to extract valuable insights from large datasets.
Design and execute complex data analysis experiments, interpreting and communicating findings to stakeholders.
Led and mentored junior data scientists, fostering a collaborative and innovative work environment.
Stay abreast of industry trends and emerging technologies, integrating them into our data science strategies.
Requirements:
Show more",5.0,Brik Partners,Remote,Unknown,--,Company - Public,--,--,Unknown / Non-Applicable
Junior Data Scientist,"$88,101
/yr (est.)","Who We Are:
Coca-Cola Beverages Florida, LLC (Coke Florida) is a family-owned independent Coca-Cola bottler that is the third largest privately-held and the sixth largest independent Coca-Cola bottler in the United States.
Coke Florida sells, markets, manufactures and distributes over 600 products of The Coca-Cola Company and other partner companies including Monster Beverage Corporation and BODYARMOR.
Coke Florida was named as a 2023 US Best Managed Company by Deloitte Private and The Wall Street Journal. This program recognizes outstanding U.S. private companies and the achievements of their management teams in four key areas: strategy, ability to execute, corporate culture, and governance/financial performance.

Eligible full time Coke Florida Associates can participate in our Total Rewards Program which includes:
Coke Florida is searching for a Junior Data Scientist to work out of our Tampa HQ area office.
Coke Florida is actively seeking a dynamic and enthusiastic Junior Data Scientist to join our team. As a Junior Data Scientist, you will be involved in various aspects of analytical projects, supporting the development of predictive models, and contributing to the delivery of actionable insights. This role provides an exciting opportunity for growth and learning in the field of data science.



This is an entry-level position, and training will be provided to help you grow in your data science career.

This job description is not an exhaustive list of all functions that the employee may be required to perform, and the employee may be required to perform additional functions. Coke Florida reserves the right to revise the job description at any time and to assign additional duties and responsibilities as needed.

Employment with Coke Florida is at-will. The employee must be able to perform the essential functions of the position satisfactorily and, if requested, reasonable accommodations may be made to enable qualified individuals with disabilities to perform essential functions of their job, absent undue hardship.

Coca-Cola Beverages Florida is an Equal Opportunity Employer and does not discriminate against any employee or applicant for employment because of race, color, sex, age, national origin, religion, sexual orientation, gender identity and/or expression, status as a veteran, and basis of disability or any other federal, state or local protected class.
Show more",3.4,Coke Florida,"Tampa, FL",1001 to 5000 Employees,2015,Company - Private,Food & Beverage Manufacturing,Manufacturing,$1 to $5 billion (USD)
Junior Data Scientist,-1,"Junior Data Scientist
REMOTE / FULL TIME
APPROX HIRE DATE: February 2024
About Amira Learning:
We believe every child deserves the chance to become a reader. We seek to help more students learn how to read than any other company in the world. Amira is a rapidly growing and renowned AI startup that was recently named by Business Insider as one of 30 startups to bet your career on. The company is the only education company in the Forbes Top 50 AI Companies, was a Time Magazine Best Invention of 2021, has been featured in the NY Times, selected as the “Future of Education” by the Wall Street Journal, won dozens of awards for software excellence, and has exploded into schools across the country.





Show more",-1.0,Amira Learning,Remote,1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable
