,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,hourly,monthly,job_state,age,Job Title Simplified,job_role,job_seniority,Salary
0,data scientist,"122,500 ","Kafene is a leading point-of-sale financing partner dedicated to empowering flexible ownership solutions for underserved customers nationwide. By enabling our retail partners to offer flexible lease-to-own (LTO) purchase options for prime and nonprime consumers, Kafene helps merchants grow their customer base and meet the growing demand for furniture, appliances, electronics, tires, and other durable goods. Utilizing more than 20,000 data inputs in tandem with cutting-edge AI and machine learning technologies, our platform creates a best-in-class experience for both merchants and customers. With over $150 million in sales since inception, we are rapidly growing and looking to expand our team.

We take pride in fostering a dynamic workplace culture that values collaboration, innovation, and mutual support. Our team of 100 is spread between a NYC headquarters, a Wilmington office, and fully remote staff across the country. Last year, we were selected for Built In Startups to Watch and Forbes' Best Startup Employers.









Show more",-1.0,Kafene,"New York, NY",51 to 200 Employees,2019.0,Company - Private,Consumer Product Rental,Personal Consumer Services,Unknown / Non-Applicable,0,0,NY,4.0,data scientist,data scientist,2,122500.0
1,data scientist (multiple openings),"129,500 ","Employer: DePuy Synthes Sales, Inc.
Job Title: Data Scientist (Multiple Openings)
Job Code : A011.4520
Job Location : Raritan, NJ
Job Type: Full-Time
Rate of Pay: $120,000 - $139,000
Job Duties: Partner with data scientists, engineers, and business partners to build and deliver digital solutions. Develop data science models and ensure real-world operationalization. Responsible for the design, development, programming methods, processes, and systems to consolidate and analyze unstructured, diverse “big data” sources to generate actionable insights and solutions for businesses across the company. Manage the data lifecycle including ingestion, contextualization, feature engineering, and operationalization for large volumes of structured and unstructured data for analytics and insights. Develop software programs, algorithms and automated processes that cleanse, integrate, and evaluate large data sets from multiple disparate sources. Identify meaningful, actionable insights from large data and metadata sources, and communicate to stakeholders. Maintain accountability for model recommendations throughout the entire lifecycle of product development, implementation, and adoption to drive business impact.



Show more",4.2,Johnson & Johnson,"Raritan, NJ",10000+ Employees,1887.0,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),0,0,NJ,136.0,data scientist,data scientist,2,129500.0
2,data scientist,"95,000 ","TITLE: Data Scientist
LOCATION: Bellevue, WA

ABOUT US
AstrumU is a data services company based in Bellevue, WA that is leveling the playing field by identifying skills gap recommendations, so that individuals can achieve their career objectives. AstrumU quantifies skills and affinities developed through education, training, and professional experiences of all types. The AstrumU AI Translation Engine ingests verified data from learning, skills, and labor market outcomes to measure, map and make recommendations based on the probable impact to outcomes. We are on a mission to quantify the return on educational investments for all learners, education providers and employers, so everyone can maximize their potential in the Future of Work.











Show more",4.7,AstrumU,"Bellevue, WA",1 to 50 Employees,2017.0,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,0,0,WA,6.0,data scientist,data scientist,2,95000.0
3,data scientist i,"86,000 ","Position Title: Data Scientist I
Salary Range: $80,000 - $92,000
Department: Information Technology
Reports to: Manager, Analytics and Research
Location: Remote
Schedule: M-F; 9-5 EST
Formerly the Mental Health Association of New York City (MHA-NYC), Vibrant Emotional Health’s groundbreaking solutions have delivered high quality services and support, when, where and how people need it for over 50 years. Through our state-of-the-art technology-enabled services, community wellness programs, and advocacy and education work, we are building a society in which emotional wellness can be a reality for everyone.
Show more",2.2,Vibrant Emotional Health,Remote,201 to 500 Employees,,Nonprofit Organization,Civic & Social Services,Nonprofit & NGO,$5 to $25 million (USD),0,0,Remote,,data scientist,data scientist,2,86000.0
4,data scientist,"96,553 ","Focused on labor and employment law since 1958, Jackson Lewis P.C.’s 950+ attorneys located in major cities nationwide consistently identify and respond to new ways workplace law intersects business. We help employers develop proactive strategies, strong policies and business-oriented solutions to cultivate high-functioning workforces that are engaged, stable and diverse, and share our clients' goals to emphasize inclusivity and respect for the contribution of every employee.
The Firm is ranked in the First Tier nationally in the category of Labor and Employment Litigation, as well as in both Employment Law and Labor Law on behalf of Management, in the U.S. News - Best Lawyers® “Best Law Firms”.
Job Summary (basic description)
The Data Scientist is responsible for:
Show more",3.9,Jackson Lewis,"Houston, TX",1001 to 5000 Employees,1958.0,Company - Private,Legal,Legal,$100 to $500 million (USD),0,0,TX,65.0,data scientist,data scientist,2,96553.0
5,data scientist,"128,933 ","Key Responsibilities:
Develop and implement advanced analytics solutions to extract valuable insights from large datasets.
Design and execute complex data analysis experiments, interpreting and communicating findings to stakeholders.
Led and mentored junior data scientists, fostering a collaborative and innovative work environment.
Stay abreast of industry trends and emerging technologies, integrating them into our data science strategies.
Requirements:
Show more",5.0,Brik Partners,Remote,Unknown,,Company - Public,--,--,Unknown / Non-Applicable,0,0,Remote,,data scientist,data scientist,2,128933.0
6,junior data scientist,"88,101 ","Who We Are:
Coca-Cola Beverages Florida, LLC (Coke Florida) is a family-owned independent Coca-Cola bottler that is the third largest privately-held and the sixth largest independent Coca-Cola bottler in the United States.
Coke Florida sells, markets, manufactures and distributes over 600 products of The Coca-Cola Company and other partner companies including Monster Beverage Corporation and BODYARMOR.
Coke Florida was named as a 2023 US Best Managed Company by Deloitte Private and The Wall Street Journal. This program recognizes outstanding U.S. private companies and the achievements of their management teams in four key areas: strategy, ability to execute, corporate culture, and governance/financial performance.

Eligible full time Coke Florida Associates can participate in our Total Rewards Program which includes:
Coke Florida is searching for a Junior Data Scientist to work out of our Tampa HQ area office.
Coke Florida is actively seeking a dynamic and enthusiastic Junior Data Scientist to join our team. As a Junior Data Scientist, you will be involved in various aspects of analytical projects, supporting the development of predictive models, and contributing to the delivery of actionable insights. This role provides an exciting opportunity for growth and learning in the field of data science.



This is an entry-level position, and training will be provided to help you grow in your data science career.

This job description is not an exhaustive list of all functions that the employee may be required to perform, and the employee may be required to perform additional functions. Coke Florida reserves the right to revise the job description at any time and to assign additional duties and responsibilities as needed.

Employment with Coke Florida is at-will. The employee must be able to perform the essential functions of the position satisfactorily and, if requested, reasonable accommodations may be made to enable qualified individuals with disabilities to perform essential functions of their job, absent undue hardship.

Coca-Cola Beverages Florida is an Equal Opportunity Employer and does not discriminate against any employee or applicant for employment because of race, color, sex, age, national origin, religion, sexual orientation, gender identity and/or expression, status as a veteran, and basis of disability or any other federal, state or local protected class.
Show more",3.4,Coke Florida,"Tampa, FL",1001 to 5000 Employees,2015.0,Company - Private,Food & Beverage Manufacturing,Manufacturing,$1 to $5 billion (USD),0,0,FL,8.0,jr data scientist,data scientist,1,88101.0
7,"data scientist, parfums christian dior","132,500 ","Company Description

From 1946, people of the House of Parfums Christian Dior in France and around the world embody the spirit of excellence, creativity, and the unique savoir-faire of its creator, the couturier-perfumer Christian Dior. Revolutionizing the codes of French elegance and luxury with its perfumes, combining tradition and daring innovation in makeup and skincare, we reinvent every day the Dior style and affirm beauty and joy in its entirety.
Parfums Christian Dior invites you today to join its North America teams.
Parfums Christian Dior is part of the LVMH Group.






Show more",3.7,Christian Dior Perfumes,United States,10000+ Employees,1947.0,Company - Public,"Department, Clothing & Shoe Stores",Retail & Wholesale,$1 to $5 billion (USD),0,0,United States,76.0,data scientist,data scientist,2,132500.0
8,data scientist,"95,000 ","A pioneer in K–12 education since 2000, Amplify is leading the way in next-generation curriculum and assessment. Our core and supplemental programs in ELA, math, and science engage all students in rigorous learning and inspire them to think deeply, creatively, and for themselves. Our formative assessment products help teachers identify the targeted instruction students need to build a strong foundation in early reading and math. All of our programs provide educators with powerful tools that help them understand and respond to the needs of every student. Today, Amplify serves more than 10 million students in all 50 states. For more information, visit amplify.com.
Amplify is a leader in creating immersive, rigorous digital learning experiences that look great, play great, and help students expect great things of themselves. Amplify has been described as the best tech company in education, and the best education company in tech.



Show more",3.9,"Amplify Education, Inc.",Remote,201 to 500 Employees,2000.0,Company - Private,Primary & Secondary Schools,Education,$100 to $500 million (USD),0,0,Remote,23.0,data scientist,data scientist,2,95000.0
9,data scientist - generative ai,"97,934 ","LOCATION
Montgomery, Alabama or Part-Time Remote (For hire or contract)
JOB DESCRIPTION
As a Data Scientist specializing in Generative AI, you will play a crucial role in developing and implementing cutting-edge generative models to solve complex problems and drive innovation. You will collaborate with cross-functional teams of data scientists, machine learning engineers, and domain experts to create novel solutions with real-world impact.
JOB DUTIES
Research, design, and implement generative models for various applications, such as image synthesis, text generation, and data augmentation

Show more",-1.0,Online Commerce Group (OCG),"Montgomery, AL",Unknown,,Company - Private,Consumer Product Manufacturing,Manufacturing,Unknown / Non-Applicable,0,0,AL,,data scientist,data scientist,2,97934.0
